番号	UCS		char	Aozora
46449	U+27351		𧍑	※［＃「虫＋「罔」の「亡」に代えて「曷−日−勹」」、ページ数-行数］
48238	U+274FB		𧓻	※［＃「虫＋慮」、ページ数-行数］
43290	U+280B2		𨂲	※［＃「足へん＋屏」、ページ数-行数］
3968	U+289D6		𨧖	※［＃「金へん＋床」、読みは「とこ」、ページ数-行数］
3410	U+28D91		𨶑	※［＃「闃」の「目」に代えて「自」、ページ数-行数］
2537	U+295D6		𩗖	※［＃「風にょう＋良」、ページ数-行数］
1698	U+29ABC		𩪼	※［＃「骨＋「權」のつくり」、ページ数-行数］
42286	U+29D69		𩵩	※［＃「魚＋夫」、ページ数-行数］
1418	U+2A976		𪥶	※［＃「女＋邦」、ページ数-行数］
49616	U+2ACA8		𪲨	※［＃「木＋忽」、ページ数-行数］
719	U+2ACA8		𪲨	※［＃「木＋忽」、ページ数-行数］
3055	U+2ADA6		𪶦	※［＃「さんずい＋哀」、ページ数-行数］
2084	U+2AF76		𪽶	※［＃「やまいだれ＋鬲」、ページ数-行数］
4520	U+2B079		𫁹	※［＃「竹／匝」、ページ数-行数］
46572	U+2B2BA		𫊺	※［＃「虫＋糸」、ページ数-行数］
46574	U+2B2BA		𫊺	※［＃「虫＋糸」、ページ数-行数］
2084	U+2B46E		𫑮	※［＃「纒のつくり＋おおざと」、ページ数-行数］
4103	U+2F885		帨	※［＃「巾＋税のつくり」、ページ数-行数］→ 包摂により帨
4376	-		-	※［＃「穀」の「禾」に代えて「黄」、ページ数-行数］
510	-		-	※［＃「鶏」の左側に「ふるとり（難の右側）」、ページ数-行数］
1488	-		-	※［＃「穀」の「禾」に代えて「釆」、ページ数-行数］
1745	-		-	※［＃「穀」の「禾」に代えて「釆」、ページ数-行数］
975	-		-	※［＃「穀」の「禾」に代えて「釆」、ページ数-行数］
2544	-		-	※［＃「にんべん＋（「育」の「月」に代えて「冉」）」、ページ数-行数］
48674	-		⿰冫虫	※［＃「冫＋虫」、ページ数-行数］
46651	-		⿰口欷	※［＃「口＋欷」、ページ数-行数］
1872	-		⿰口芚	※［＃「□＋草冠の下に屯（上に突き出ない字体）」、ページ数-行数］
3514	-		⿰土𪉟	※［＃「土へん＋（鹵／皿）」、鹽の俗字、ページ数-行数］
5082	-		⿰女釆	※［＃「女＋釆」、ページ数-行数］	# 婇の間違い？
46954	-		⿰姦干	※［＃「姦＋干」、ページ数-行数］
1872	-		⿰寸多	※［＃「寸＋多」、ページ数-行数］
42568	-		⿰山労	※［＃「山＋労」、ページ数-行数］	# 嶗の異体字
42584	-		⿰山労	※［＃「山＋労」、ページ数-行数］	# 嶗の異体字
1872	-		⿰工𡒃	※［＃「工偏の横二画を短くしたようなもの＋奥の下に土を置いたもの」、ページ数-行数］
1872	-		⿰工筠	※［＃「工偏の横二画を短くしたようなもの＋竹冠の下に「均」を置いたもの」、ページ数-行数］
1872	-		⿰工遠	※［＃「工偏の横二画を短くしたようなもの＋（「しんにょう」+「袁」）」、ページ数-行数］
1896	-		⿰巾𢊍	※［＃「巾へん＋「厨」の「がんだれ」のかわりに「まだれ」をあてたもの」、ページ数-行数］
43811	-		⿰忄巧	※［＃「りっしんべん＋巧」、ページ数-行数］	# 悧巧の「巧」の誤字？
45340	-		⿰忄巧	※［＃「りっしんべん＋巧」、ページ数-行数］	# 悧巧の「巧」の誤字？
42613	-		⿰忄菐	※［＃「りっしんべん＋「僕」のつくり」、ページ数-行数］
1489	-		-	※［＃「てへん＋「宛」で「夕」の右側が「ヒ」」、ページ数-行数］
42413	-		-	※［＃「捏」の「日」に代えて「臼」、ページ数-行数］
522	-		-	※［＃「捏」の「日」に代えて「臼」、ページ数-行数］
1640	-		⿰扌全	※［＃「てへん＋全」、ページ数-行数］
1452	-		⿰扌弃	※［＃「てへん＋弃」、ページ数-行数］
4992	-		⿰月祭	※［＃「月＋祭」］
1328	-		-	※［＃「栃」でつくりの中の「万」のかわりに「朽」のつくりをあてる」、ページ数-行数］
2084	-		⿰木兊	※［＃「木＋「酋」の「酉」に代えて「允」」、ページ数-行数］
1452	-		⿰木彛	※［＃「木＋（ヨ／粉／廾）」、ページ数-行数］
3055	-		⿰木草	※［＃「木＋草」、ページ数-行数］
1452	-		⿰毎卜	※［＃「毎＋卜」、ページ数-行数］
48502	-		-	※［＃「さんずい＋（从／巫）、ページ数-行数］
1328	-		-	※［＃「「滔」でつくりの上が「刀」」、ページ数-行数］
4368	-		⿰火房	※［＃「火＋房」、ページ数-行数］	# 暖房
4374	-		⿰火房	※［＃「火＋房」、ページ数-行数］	# 暖房
4375	-		⿰火房	※［＃「火＋房」、ページ数-行数］	# 暖房
48509	-		⿰火烕	※［＃「滅」の「さんずい」に代えて「火」、ページ数-行数］
665	-		⿰犭敕	※［＃「けものへん」に敕、ページ数-行数］
1452	-		-	※［＃「王＋「虞」の「呉」に代えて「僚のつくり−小」、ページ数-行数］
4940	-		⿰田鹿	※［＃「田＋鹿」、ページ数-行数］
1556	-		⿰目帝	※［＃「めへん＋帝」、読みは「まも」、ページ数-行数］
1556	-		⿰目帝	※［＃「めへん＋帝」、読みは「みまも」、ページ数-行数］
18411	-		⿰石囘	※［＃「石＋囘」、ページ数-行数］
2084	-		⿰示兊	※［＃「示＋「酋」の「酉」に代えて「允」」、ページ数-行数］
522	-		⿰糸察	※［＃「糸＋察」、ページ数-行数］
43748	-		⿰糸戊	※［＃「糸＋戊」、ページ数-行数］
1896	-		⿰糸章	※［＃「糸へん＋章」、ページ数-行数］
3055	-		⿰糸𠪨	※［＃「纏」の「广」に代えて「厂」、ページ数-行数］
47653	-		⿰糸𠪨	※［＃「纏」の「广」に代えて「厂」、ページ数-行数］
484	-		⿰糸𠪨	※［＃「纏」の「广」に代えて「厂」、ページ数-行数］
48677	-		⿰糸𠪨	※［＃「纏」の「广」に代えて「厂」、ページ数-行数］
